Tweet,Sentiment
"I conveyed my best wishes to Shri Deuba for peace, prosperity and progress in Nepal under his leadership.",Positive
Called Shri Sher Bahadur Deuba to congratulate him on being elected the Prime Minister of Nepal.,Neutral
BIMSTEC is a natural platform for regional cooperation. The commitment to peace &amp; development connects the BIMSTEC family.,Positive
Today is a special day- we mark the 20th anniversary of BIMSTEC. My greetings to all BIMSTEC nations.,Positive
"Through this video, know how to practice Vakrasana and the gains of practising it. #YogaDay https://t.co/p8aNWIPkSU",Neutral
Secretaries and I also discussed methods to further strengthen the development apparatus in the 100 most backward districts of India.,Positive
One of this Government's constant endeavours is to transform administrative mechanisms &amp; ensure systems are outcome oriented.,Neutral
Met Secretaries to the Government of India and had a comprehensive interaction with them on key policy areas.… https://t.co/VDxsZmRSzp,Neutral
"Urged @spicmacay family to actively take part in ‘Ek Bharat, Shreshtha Bharat’ &amp; deepen the spirit of harmony &amp; brotherhood across India.",Negative
Lauded the @spicmacay family for their distinguished role in furthering Indian culture &amp; music over the years. https://t.co/cW5OpbKzB1,Neutral
"Interacted with mountaineer Anshu Jamsenpa, who scaled Mount Everest twice in five days. Her passion towards mounta… https://t.co/SJhwGNn7bn",Neutral
The GSLV – MKIII D1/GSAT-19 mission takes India closer to the next generation launch vehicle and satellite capability. The nation is proud!,Positive
Congratulations to the dedicated scientists of ISRO for the successful launch of GSLV – MKIII D1/GSAT-19 mission.,Positive
Had spoken about need to see waste as wealth &amp; discussed aspects relating to #BlueGreenPledge during #MannKiBaat. https://t.co/WCqPxNJ0al,Negative
Valuable information that will enhance the movement towards a clean India. #BlueGreenPledge #MyCleanIndia https://t.co/MZaRDPj7Ys,Positive
"RT @MVenkaiahNaidu: Segregation of waste at source helps in waste to compost, waste to energy &amp; recycling, leading to less waste in dump si…",Negative
"RT @MVenkaiahNaidu: On this #WorldEnvironmentDay, let us take #BlueGreenPledge to segregate household waste into 2 bins. Wet waste in Green…",Negative
"RT @MVenkaiahNaidu: Launching the #BlueGreenPledge campaign in Talkatora Stadium, New Delhi. #MyCleanIndia #WorldEnvironmentDay @SwachhBhar…",Positive
"At 5:15 PM today, I will be addressing the 5th International Convention of @spicmacay, being held at IIT-Delhi, via video conferencing.",Neutral
Here is how Bhadrasana can help you. #YogaDay https://t.co/czkEAQPPBv,Neutral
"Birthday greetings to the youthful &amp; dynamic CM of UP, @myogiadityanath Ji. I wish him a long and healthy life.",Positive
This year’s theme of ‘Connecting People to Nature’ is nothing but getting connected with ourselves. #WithNature https://t.co/ZXl59gj8ra,Neutral
#WorldEnviromentDay is the right time to reaffirm our commitment to protecting our environment and nurturing a bett… https://t.co/PVwHrrGcuZ,Positive
A cleaner environment is an article of faith for us. We owe our future generations a greener and better planet. https://t.co/cyLSb76WOU,Positive
Terrorism affects the entire world. All humanitarian forces have to come together to uproot the menace of terrorism… https://t.co/EAu7JZOZDd,Neutral
"‘Sabka Saath, Sabka Vikas’ is about taking the entire humanity together and working shoulder to shoulder for the pr… https://t.co/87w3xnDB27",Neutral
Ustrasana is particularly recommended to overcome back pain. Know more about this Asana and the benefits. #YogaDay https://t.co/3rwPP9IhXn,Positive
Attacks in London are shocking &amp; anguishing. We condemn them. My thoughts are with families of the deceased &amp; prayers with the injured.,Negative
My gratitude to the Government and people of France for their hospitality during my visit. This was a significant v… https://t.co/xAo6H5rlrz,Positive
Ce fut une visite courte mais constructive. https://t.co/RSEzHLxAzB,Neutral
Mes remerciements au gouvernement ainsi qu’au peuple français de son hospitalité durant mon séjour. https://t.co/B6z5QoXEkR,Neutral
President @EmmanuelMacron and I laid a wreath at the Arc De Triomphe in Paris. https://t.co/sREMmiZush,Neutral
President @EmmanuelMacron &amp; I had elaborate talks on boosting India-France economic &amp; people-to-people ties.… https://t.co/YbbXamJia8,Positive
I wholeheartedly appreciate the support &amp; enthusiasm of President @EmmanuelMacron towards the International Solar Alliance.,Neutral
France is one of India’s strongest partners &amp; a nation with whom our cooperation extends in many areas. India cherishes our ties with France,Positive
RT @PMOIndia: We have natural resources because our previous generations protected these resources. We must do the same for our future: PM…,Negative
"RT @PMOIndia: Paris Agreement reflects our duty towards protecting the Earth and our natural resources. For us, this is an article of faith…",Positive
RT @PMOIndia: Paris Agreement is a shared legacy of the world. It will benefit the future generations as well: PM @narendramodi https://t.c…,Neutral
Held comprehensive discussions with President @EmmanuelMacron. https://t.co/ha2hmcnMdI,Neutral
J’ai eu des discussions complètes avec le Président @EmmanuelMacron. https://t.co/hvvMeXpwG1,Neutral
Congratulations to my young friends who have successfully passed the CBSE Class X exams. Good luck for the journey ahead.,Positive
Here is how Trikonasana can help you. #YogaDay https://t.co/GyrS0RTeOJ,Neutral
Reached France for a vital visit to enhance ties with one of our most important strategic partners. https://t.co/m402KMDZc7,Positive
Arrivé en France pour une importante visite visant à renforcer les liens avec l’un de nos partenaires stratégiques… https://t.co/1tFXLW3e3h,Neutral
Thank you Russia. This eventful visit witnessed several programmes and fruitful meetings. It will further boost Ind… https://t.co/TH7GuQLgPM,Neutral
